stair.thisTrialN,stair.stepSize,stair.intensity,text.started,key_resp.started,key_resp.keys,key_resp.rt,ISI.started,trial_resp.started,response.started,stair.response,trial_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,13.672756000014488,13.672756000014488,space,1.9154274000320584,,,,,,447080,001,2023-02-15_16h52.40.150,Adaptive_staircase_Diar,2022.2.5,60.02887388457353,
0,40,300.0,,,,,0.9645524999941699,19.511753499973565,19.511753499973565,0,2.3250950000365265,447080,001,2023-02-15_16h52.40.150,Adaptive_staircase_Diar,2022.2.5,60.02887388457353,
1,40,340.0,,,,,0.6015269000199623,25.3943178000045,25.3943178000045,0,0.5856108999578282,447080,001,2023-02-15_16h52.40.150,Adaptive_staircase_Diar,2022.2.5,60.02887388457353,
2,40,380.0,,,,,0.6005642000236548,29.54387409996707,29.54387409996707,0,0.37016140000196174,447080,001,2023-02-15_16h52.40.150,Adaptive_staircase_Diar,2022.2.5,60.02887388457353,
3,40,400.0,,,,,0.6009045999962837,33.476872199971694,33.476872199971694,0,3.4259259999962524,447080,001,2023-02-15_16h52.40.150,Adaptive_staircase_Diar,2022.2.5,60.02887388457353,
4,40,400.0,,,,,0.6018779000150971,40.45907599997008,40.45907599997008,1,0.9603598000248894,447080,001,2023-02-15_16h52.40.150,Adaptive_staircase_Diar,2022.2.5,60.02887388457353,
5,40,360.0,,,,,0.6004880000255071,44.9749289000174,44.9749289000174,1,2.2817746000364423,447080,001,2023-02-15_16h52.40.150,Adaptive_staircase_Diar,2022.2.5,60.02887388457353,
6,40,360.0,,,,,0.6015683999867178,50.80778069997905,50.80778069997905,1,0.8139813999878243,447080,001,2023-02-15_16h52.40.150,Adaptive_staircase_Diar,2022.2.5,60.02887388457353,
7,40,320.0,,,,,0.6009298000135459,55.173896299966145,55.173896299966145,1,0.3002906000474468,447080,001,2023-02-15_16h52.40.150,Adaptive_staircase_Diar,2022.2.5,60.02887388457353,
8,40,320.0,,,,,0.6010814000037499,59.03993420000188,59.03993420000188,1,0.37000269995769486,447080,001,2023-02-15_16h52.40.150,Adaptive_staircase_Diar,2022.2.5,60.02887388457353,
9,40,280.0,,,,,0.6011409999919124,62.972704000014346,62.972704000014346,0,0.5092934999847785,447080,001,2023-02-15_16h52.40.150,Adaptive_staircase_Diar,2022.2.5,60.02887388457353,
10,40,320.0,,,,,0.6016395999467932,67.03919199999655,67.03919199999655,0,0.3359612000058405,447080,001,2023-02-15_16h52.40.150,Adaptive_staircase_Diar,2022.2.5,60.02887388457353,
11,40,360.0,,,,,0.6009119999944232,70.93831719999434,70.93831719999434,1,0.33241470000939444,447080,001,2023-02-15_16h52.40.150,Adaptive_staircase_Diar,2022.2.5,60.02887388457353,
12,30,360.0,,,,,0.6009124999982305,74.82135659997584,74.82135659997584,1,10.890283900022041,447080,001,2023-02-15_16h52.40.150,Adaptive_staircase_Diar,2022.2.5,60.02887388457353,
13,30,330.0,,,,,0.6013887000153773,89.2693389999913,89.2693389999913,1,0.5391477000084706,447080,001,2023-02-15_16h52.40.150,Adaptive_staircase_Diar,2022.2.5,60.02887388457353,
14,30,330.0,,,,,0.6012921000365168,93.36877050000476,93.36877050000476,1,0.50174540001899,447080,001,2023-02-15_16h52.40.150,Adaptive_staircase_Diar,2022.2.5,60.02887388457353,
15,30,300.0,,,,,0.6012095999903977,97.43527760001598,97.43527760001598,1,0.4831214000005275,447080,001,2023-02-15_16h52.40.150,Adaptive_staircase_Diar,2022.2.5,60.02887388457353,
,,,,,,,0.6011167000397108,,,,,,,,,,,
